URL,Page name,Audience,Current staging status,Live page type,Component template required,Priority,Migration status
/infrastructure-innovation/,Infrastructure Innovation,Public,Onix InfrastructurePageTemplate,Infrastructure detail,Infrastructure,3,Complete
/blog/,Blog,Public,Redirects to /news/,Article listing,News,6,Redirect
/news/,News,Public,Legacy news/page,Article listing,News,6,Pending
/fr/home-francais/,Home Français,Public,Legacy fr route,French homepage,French,5,Pending
/fr/author/onixdc/,Author onixdc FR,Public,Redirect to /news/,French author,French,5,Redirect
/fr/author/samuel/,Author Samuel FR,Public,Redirect to /news/,French author,French,5,Redirect
/fr/author/yinka/,Author Yinka FR,Public,Redirect to /news/,French author,French,5,Redirect
/o-home/senegal/about-us/,Senegal About Us,Public,Redirects to /about-us/,Corporate page,Corporate,5,Redirect
/o-home/senegal/contact-us/,Senegal Contact,Public,Redirects to /contact-us/,Contact page,Contact,5,Redirect
/o-home/senegal/infrastructure/,Senegal Infrastructure,Public,Redirects to /home/infrastructure/,Infrastructure,Infrastructure,5,Redirect
/o-home/senegal/services/,Senegal Services,Public,Redirects to /services/,Solution,Solution,5,Redirect
/o-home/senegal/sustainability/,Senegal Sustainability,Public,Redirects to /home/sustainability/,Corporate,Corporate,5,Redirect
/home/,Home redirect,Public,Redirects to /,Homepage,Homepage,1,Redirect
/home-english/,Home English,Public,Legacy page,Corporate page,Corporate,5,Pending
/o-home/,O-Home landing,Public,Onix CorporatePageTemplate,Corporate page,Corporate,4,Complete
/o-home/home-v2/,Home V2,Public,Legacy page,Corporate page,Corporate,5,Pending
/elementor-9089/,Cookie Policy,Public,Legacy page,Legal page,Corporate,5,Pending
/o-home/razak-awudulai1/,Razak Awudulai (dup),Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,4,Complete
