slug,title_ok,body_ok,url_ok,featured_ok,seo_ok,elementor_artifacts
empowering-digital-transformation-africa-data-centres,yes,yes,yes,yes,yes,no
data-centres-healthcare-africa,yes,yes,yes,yes,yes,no
enhancing-resilience-security-it-outages,yes,yes,yes,yes,yes,no
harnessing-ai-renewable-energy,yes,yes,yes,yes,yes,no
strengthening-bonds-our-partnership-with-sekoe-chocolate-suppliers,yes,yes,yes,yes,yes,no
data-centre-collaboration,yes,yes,yes,yes,yes,no
global-connectivity,yes,yes,yes,yes,yes,no
transparency-customer-awareness-data-hosting,yes,yes,yes,yes,yes,no
data-centre-innovations-africa-adca-report,yes,yes,yes,yes,yes,no
different-industries-utilise-data-centres,yes,yes,yes,yes,yes,no
onix-data-centres-partnership-glico-insurance,yes,yes,yes,yes,yes,no
onix-introduces-cloud-computing-ghana,yes,yes,yes,yes,yes,no
digital-resilience-in-west-africa,yes,yes,yes,yes,yes,no
edge-computing-in-ghana,yes,yes,yes,yes,yes,no
solar-power-data-centres-sustainable,yes,yes,yes,yes,yes,no
onix-growth-innovation-leadership-transition,yes,yes,yes,yes,yes,no
navigating-2024-data-centre-trends,yes,yes,yes,yes,yes,no
africas-data-centre-revolution,yes,yes,yes,yes,yes,no
bluespace-financial-cloud-onix-data-centre,yes,yes,yes,yes,yes,no
support-for-south-tongu-flood-relief,yes,yes,yes,yes,yes,no
elevating-government-data-management-colocation-services,yes,yes,yes,yes,yes,no
healthcare-colocation-data-centre,yes,yes,yes,yes,yes,no
resilience-data-centres-natural-disasters,yes,yes,yes,yes,yes,no
strategic-network-peering-a-beginners-guide,yes,yes,yes,yes,yes,no
the-role-of-data-centres-in-smart-cities-the-future-of-urban-living-in-africa,yes,yes,yes,yes,yes,no
solar-data-sustainable-solution,yes,yes,yes,yes,yes,no
uptime-power-backup-onix-data-centre,yes,yes,yes,yes,yes,no
onix-launch-dakar,yes,yes,yes,yes,yes,no
tier-3-facility-in-dakar-2023-completion,yes,yes,yes,yes,yes,no
protecting-your-data-the-importance-of-data-security-for-businesses-and-institutions,yes,yes,yes,yes,yes,no
fire-suppression-data-centres,yes,yes,yes,yes,yes,no
cold-aisle-containment-data-centre-cooling,yes,yes,yes,yes,yes,no
senegal-the-next-singapore,yes,yes,yes,yes,yes,no
colocation-data-centres,yes,yes,yes,no,yes,no
onix-ceo-mike-nahons-speech-senegal,yes,yes,yes,yes,yes,no
onix-data-centre-accra-achieves-iso-27001-and-iso-9001-certification,yes,yes,yes,yes,yes,no
afr-ix-onix-internet-data-partnership,yes,yes,yes,yes,yes,no
onix-data-centre-announces-azure-stack-partnership-following-africa-tech-festival,yes,yes,yes,yes,yes,no
onix-dc-accra-the-only-climate-friendly-data-centre-in-west-africa,yes,yes,yes,yes,yes,no
africas-digital-economy-the-post-mobile-wave,yes,yes,yes,yes,yes,no
why-african-data-centres-need-to-use-renewable-energy,yes,yes,yes,yes,yes,no
african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2,yes,yes,yes,yes,yes,no
africa-drivers-of-growth-2021,yes,yes,yes,yes,yes,no
connecting-the-unconnected-in-africa,yes,yes,yes,yes,yes,no
broadband-the-most-effective-catalyst-for-development-in-emerging-markets,yes,yes,yes,yes,yes,no
why-carrier-neutral-colocation-data-centres-will-predominate-in-africa,yes,yes,yes,yes,yes,no
how-governments-can-help-grow-the-digital-economy-in-africa,yes,yes,yes,yes,yes,no
challenges-in-data-centre-deployment-in-africa,yes,yes,yes,yes,yes,no
why-africa-corporations-should-host-their-data-in-carrier-neutral-data-centres-not-in-house,yes,yes,yes,yes,yes,no
africa-digital-cloud-resilience,yes,yes,yes,yes,yes,no
what-is-peering,yes,yes,yes,yes,yes,no
